"customer_id","date_most_recent","recency_days","order_count","revenue","R_score","F_score","M_score","RFM_score"
2516,2021-01-24,55,8,2204,4,4,4,444
2558,2021-02-17,31,8,2429,4,4,4,444
2575,2021-02-14,34,8,1996,4,4,4,444
2603,2021-01-23,56,12,1923,4,4,4,444
2607,2021-02-06,42,8,3912,4,4,4,444
2617,2021-02-26,22,9,3768,4,4,4,444
2640,2021-02-11,37,9,5776,4,4,4,444
2683,2021-01-16,63,8,2676,4,4,4,444
2685,2021-02-01,47,13,2087,4,4,4,444
2789,2021-01-18,61,12,3550,4,4,4,444
2795,2021-01-09,70,8,2947,4,4,4,444
2804,2021-02-21,27,12,10250,4,4,4,444
2858,2021-02-27,21,11,2687,4,4,4,444
2881,2021-02-01,47,8,2910,4,4,4,444
2902,2021-02-01,47,9,2224,4,4,4,444
2905,2021-02-22,26,12,5404,4,4,4,444
2963,2021-02-22,26,10,2494,4,4,4,444
3092,2021-02-03,45,8,5197,4,4,4,444
3112,2021-01-21,58,9,2440,4,4,4,444
3114,2021-01-23,56,8,2540,4,4,4,444
3116,2021-01-30,49,9,8004,4,4,4,444
3118,2021-02-03,45,11,2101,4,4,4,444
3138,2021-01-09,70,9,2802,4,4,4,444
3144,2021-01-19,60,9,2515,4,4,4,444
3167,2021-02-04,44,10,11977,4,4,4,444
3186,2021-01-22,57,8,3740,4,4,4,444
3204,2021-01-14,65,8,2148,4,4,4,444
3215,2021-01-09,70,8,2155,4,4,4,444
3222,2021-02-26,22,9,2406,4,4,4,444
3224,2021-02-13,35,9,2577,4,4,4,444
3238,2021-02-10,38,16,3607,4,4,4,444
3256,2021-02-16,32,10,2331,4,4,4,444
3267,2021-01-22,57,11,2154,4,4,4,444
3274,2021-01-18,61,8,2285,4,4,4,444
3349,2021-02-10,38,13,5317,4,4,4,444
3364,2021-02-23,25,9,2631,4,4,4,444
3370,2021-01-21,58,9,1981,4,4,4,444
3382,2021-01-23,56,9,3039,4,4,4,444
3395,2021-01-29,50,9,2448,4,4,4,444
3435,2021-02-19,29,8,4404,4,4,4,444
3451,2021-02-18,30,9,5129,4,4,4,444
3489,2021-02-18,30,14,6010,4,4,4,444
3515,2021-02-06,42,9,2186,4,4,4,444
3561,2021-02-27,21,8,1885,4,4,4,444
3580,2021-02-02,46,8,1904,4,4,4,444
3581,2021-01-29,50,9,3048,4,4,4,444
