"customer_id","date_most_recent","recency_days","order_count","revenue","R_score","F_score","M_score","RFM_score"
4643,2020-07-17,246,11,3612,2,4,4,244
4649,2020-08-21,211,6,3441,2,3,4,234
4653,2020-10-09,162,6,2331,2,3,4,234
4660,2020-01-22,423,10,4349,1,4,4,144
4662,2020-10-04,167,10,1123,2,4,3,243
4678,2020-07-26,237,6,2926,2,3,4,234
4682,2020-09-01,200,6,3910,2,3,4,234
4687,2020-01-31,414,8,1459,1,4,3,143
4718,2019-08-22,576,7,2915,1,3,4,134
4728,2020-07-04,259,8,642,2,4,2,242
4732,2019-10-22,515,7,5763,1,3,4,134
4739,2020-06-15,278,9,3076,2,4,4,244
4747,2020-09-02,199,6,2158,2,3,4,234
4774,2020-09-14,187,8,2163,2,4,4,244
4781,2020-09-02,199,8,920,2,4,2,242
4785,2020-08-01,231,8,763,2,4,2,242
4793,2020-07-31,232,6,1992,2,3,4,234
4800,2020-06-29,264,8,3035,2,4,4,244
4804,2020-06-26,267,8,2794,2,4,4,244
4820,2020-03-23,362,6,2056,1,3,4,134
4850,2020-08-17,215,6,11264,2,3,4,234
4852,2019-12-31,445,9,1129,1,4,3,143
4858,2020-01-08,437,7,1976,1,3,4,134
4864,2020-07-10,253,13,4674,2,4,4,244
4880,2020-09-04,197,9,2617,2,4,4,244
4881,2020-10-13,158,6,2632,2,3,4,234
4892,2019-09-15,552,8,1225,1,4,3,143
4897,2020-08-25,207,7,1942,2,3,4,234
4899,2020-02-10,404,7,2031,1,3,4,134
4913,2020-03-31,354,8,4252,1,4,4,144
4921,2020-08-06,226,7,2199,2,3,4,234
4978,2020-10-05,166,9,2334,2,4,4,244
4982,2020-10-09,162,9,1618,2,4,3,243
5009,2020-09-30,171,7,2332,2,3,4,234
5018,2019-08-01,597,6,2315,1,3,4,134
5038,2020-08-15,217,7,1924,2,3,4,234
5044,2019-11-05,501,6,1975,1,3,4,134
5056,2020-09-22,179,7,4196,2,3,4,234
5059,2020-07-30,233,9,1197,2,4,3,243
5066,2020-09-27,174,6,5448,2,3,4,234
5082,2020-03-23,362,9,1130,1,4,3,143
5103,2020-09-21,180,10,5191,2,4,4,244
5108,2020-01-28,417,8,1249,1,4,3,143
5111,2020-06-28,265,10,962,2,4,2,242
5121,2020-09-29,172,8,4796,2,4,4,244
5156,2020-09-07,194,6,4983,2,3,4,234
5161,2020-06-01,292,8,3064,1,4,4,144
5166,2020-03-25,360,6,2710,1,3,4,134
5175,2020-06-17,276,6,2088,2,3,4,234
5187,2020-05-16,308,13,4986,1,4,4,144
5199,2020-08-20,212,7,1879,2,3,4,234
5201,2020-08-05,227,6,3954,2,3,4,234
5204,2020-09-06,195,8,890,2,4,2,242
5206,2020-09-14,187,6,1910,2,3,4,234
5215,2020-10-12,159,6,2940,2,3,4,234
5218,2019-11-12,494,6,4120,1,3,4,134
5229,2020-04-25,329,9,5165,1,4,4,144
5252,2020-10-09,162,9,959,2,4,2,242
5254,2020-10-04,167,10,2224,2,4,4,244
5263,2020-06-29,264,8,1870,2,4,4,244
5294,2020-09-15,186,6,2130,2,3,4,234
5315,2020-07-29,234,7,2237,2,3,4,234
5346,2019-11-12,494,8,1158,1,4,3,143
5347,2020-09-05,196,6,2508,2,3,4,234
5352,2020-02-29,385,8,1726,1,4,3,143
5355,2020-09-04,197,9,5653,2,4,4,244
5356,2020-05-27,297,8,1556,1,4,3,143
5357,2020-06-07,286,10,1689,1,4,3,143
5363,2020-10-07,164,9,2507,2,4,4,244
5365,2020-08-07,225,11,3181,2,4,4,244
5368,2020-09-13,188,6,2083,2,3,4,234
5387,2020-08-17,215,6,2699,2,3,4,234
5392,2020-07-12,251,8,825,2,4,2,242
5407,2020-09-20,181,8,552,2,4,2,242
5452,2020-02-12,402,8,2403,1,4,4,144
5459,2020-06-23,270,6,2667,2,3,4,234
5489,2020-10-10,161,8,3211,2,4,4,244
5491,2020-04-28,326,8,3056,1,4,4,144
5507,2020-09-12,189,9,647,2,4,2,242
5525,2020-06-17,276,7,6132,2,3,4,234
5532,2020-06-02,291,10,1973,1,4,4,144
5537,2020-08-06,226,6,3621,2,3,4,234
5557,2020-04-11,343,9,1357,1,4,3,143
5562,2020-10-11,160,8,975,2,4,2,242
5579,2020-09-12,189,9,4650,2,4,4,244
5585,2019-09-06,561,6,1934,1,3,4,134
5594,2020-08-09,223,7,1969,2,3,4,234
5600,2020-08-23,209,10,1407,2,4,3,243
5611,2020-07-17,246,9,2562,2,4,4,244
5623,2020-02-28,386,7,4178,1,3,4,134
5630,2020-10-05,166,8,2082,2,4,4,244
5638,2020-10-02,169,8,1575,2,4,3,243
5643,2020-09-02,199,9,2029,2,4,4,244
5647,2020-08-11,221,10,1414,2,4,3,243
5654,2020-04-15,339,8,3436,1,4,4,144
5666,2020-07-11,252,6,1859,2,3,4,234
5676,2020-05-22,302,7,2087,1,3,4,134
5699,2020-09-14,187,9,2621,2,4,4,244
5701,2020-04-26,328,8,1221,1,4,3,143
5709,2020-04-22,332,6,1939,1,3,4,134
5723,2020-03-02,383,6,2556,1,3,4,134
5724,2020-08-24,208,8,884,2,4,2,242
5734,2020-07-22,241,9,1974,2,4,4,244
5746,2020-09-30,171,6,2437,2,3,4,234
5760,2020-08-10,222,10,4987,2,4,4,244
5783,2020-10-13,158,9,2957,2,4,4,244
5805,2020-10-04,167,9,3519,2,4,4,244
5828,2020-09-10,191,7,5851,2,3,4,234
5832,2020-07-02,261,6,4329,2,3,4,234
5837,2020-08-19,213,7,2892,2,3,4,234
5852,2020-09-23,178,7,3287,2,3,4,234
5862,2020-05-28,296,6,5411,1,3,4,134
5868,2020-08-25,207,7,2548,2,3,4,234
5881,2020-03-01,384,7,3099,1,3,4,134
5904,2020-07-17,246,9,901,2,4,2,242
5921,2020-07-08,255,6,2516,2,3,4,234
5942,2020-07-16,247,8,1306,2,4,3,243
5954,2019-09-21,546,6,1874,1,3,4,134
5955,2020-03-04,381,9,1831,1,4,3,143
5966,2020-07-18,245,8,749,2,4,2,242
5972,2020-06-11,282,7,3462,2,3,4,234
5985,2020-09-08,193,8,1495,2,4,3,243
6022,2020-09-09,192,8,2003,2,4,4,244
6031,2020-09-13,188,9,3923,2,4,4,244
6043,2019-10-04,533,6,3715,1,3,4,134
6060,2020-10-03,168,9,1148,2,4,3,243
6067,2020-08-31,201,8,3482,2,4,4,244
6070,2020-10-06,165,8,836,2,4,2,242
6072,2020-08-12,220,9,1437,2,4,3,243
6084,2020-04-11,343,7,3700,1,3,4,134
6091,2020-04-26,328,6,2547,1,3,4,134
6106,2020-07-09,254,8,656,2,4,2,242
6116,2020-09-30,171,8,2046,2,4,4,244
6143,2020-09-04,197,9,2211,2,4,4,244
6151,2020-01-21,424,6,2041,1,3,4,134
6163,2020-06-26,267,6,1845,2,3,4,234
6174,2020-04-19,335,7,6848,1,3,4,134
6176,2020-08-20,212,9,1456,2,4,3,243
6189,2020-04-29,325,6,2755,1,3,4,134
6197,2020-10-11,160,11,2655,2,4,4,244
6210,2020-10-03,168,10,867,2,4,2,242
6217,2020-09-07,194,9,2313,2,4,4,244
6219,2020-08-21,211,9,1125,2,4,3,243
6222,2020-03-22,363,6,5025,1,3,4,134
6227,2020-08-13,219,8,2178,2,4,4,244
6231,2020-07-30,233,6,2663,2,3,4,234
6236,2020-08-14,218,8,592,2,4,2,242
6249,2020-09-20,181,10,1533,2,4,3,243
6264,2020-01-01,444,7,1969,1,3,4,134
